arm,epoch,kind,side,sec,ask,fill_px,p,p_venue,ev,thr,rv60,move_bps,spent,win,pnl
8796,1789899900,EF,UP,39.7,0.53,0.53,0.6776,0.525,0.2365,0.15,0.1078,0.75,3,1,2.4763
8795,1789900800,EF,UP,124.5,0.49,0.49,0.6776,0.485,0.3335,0.25,0.2799,-0.08,2.99,1,2.9048
8796,1789900800,EF,UP,124.5,0.44,0.44,0.623,0.435,0.3605,0.25,0.2799,-0.08,2.99,1,3.5526
8795,1789901400,EF,UP,64.6,0.56,0.56,0.6776,0.555,0.1728,0.15,0.1633,-0.07,3,1,2.1968
8796,1789901400,EF,UP,64.7,0.56,0.56,0.6776,0.555,0.1728,0.15,0.1633,-0.07,3,1,2.1968
8795,1789902000,EF,UP,238.4,0.39,0.39,0.5314,0.385,0.3044,0.25,0.3582,0.16,2.99,0,-2.9926
8796,1789902000,EF,UP,238.5,0.39,0.39,0.5314,0.385,0.3044,0.25,0.3582,0.16,2.99,0,-2.9926
8795,1789902300,EF,UP,75,0.52,0.52,0.6776,0.515,0.2593,0.15,0.0668,0.52,3,1,2.5795
8796,1789902300,EF,UP,75,0.52,0.52,0.6776,0.515,0.2593,0.15,0.0668,0.52,3,1,2.5795
8795,1789902600,EF,UP,45.5,0.43,0.43,0.5314,0.425,0.1865,0.15,0.0447,-0.25,2.99,0,-2.9949
8796,1789902600,EF,UP,45.5,0.43,0.43,0.5314,0.425,0.1865,0.15,0.0447,-0.25,2.99,0,-2.9949
8796,1789903200,EF,DOWN,82,0.44,0.44,0.5402,0.565,0.1796,0.15,0.1435,-0.16,2.99,0,-5.9842
8796,1789903200,REVERSAL,DOWN,106.2,,0.55,0.6745,,,0,,,2.99,0,-5.9842
8796,1789903500,EF,UP,205.6,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0935,-0.28,3,0,-2.9992
8795,1789904100,EF,UP,150,0.3,0.3,0.5314,0.295,0.6845,0.25,0.3129,2.21,2.99,0,-2.9897
8796,1789904100,EF,UP,150.2,0.3,0.3,0.5314,0.295,0.6845,0.25,0.3126,2.21,2.99,0,-2.9897
8795,1789904700,EF,UP,61,0.44,0.44,0.5694,0.435,0.2434,0.15,0.1119,0.13,2.99,1,3.5526
8796,1789904700,EF,UP,60.9,0.44,0.44,0.5694,0.435,0.2434,0.15,0.112,0.13,2.99,1,3.5526
8795,1789906200,EF,UP,77,0.45,0.45,0.5694,0.445,0.2167,0.15,0.0008,0,2.99,0,-2.9909
