epoch,sec,kind,direction,quote,correct,actual
1790034300,15.2,EF,DOWN,0.58,0,UP
1790034300,120.9,MAIN,UP,0.72,1,UP
1790034300,209.7,REVERSAL,DOWN,0.73,0,UP
1790034600,18.9,EF,UP,0.46,1,UP
1790034600,153.0,MAIN,UP,0.87,1,UP
1790034900,15.1,EF,UP,0.69,1,UP
1790034900,43.2,MAIN,UP,0.68,1,UP
1790035200,16.2,EF,DOWN,0.5,1,DOWN
1790035200,196.8,MAIN,DOWN,,1,DOWN
1790035500,110.1,EF,UP,0.38,0,DOWN
1790035500,36.0,MAIN,UP,0.72,0,DOWN
1790035500,102.5,REVERSAL,DOWN,0.6456953143496696,1,DOWN
1790035800,48.0,EF,DOWN,0.39,0,UP
1790035800,16.0,MAIN,UP,0.63,1,UP
1790036100,43.0,EF,UP,0.41,0,DOWN
1790036100,178.0,MAIN,DOWN,0.89,1,DOWN
1790036400,136.9,EF,UP,0.43,0,DOWN
1790036400,242.1,MAIN,DOWN,0.95,1,DOWN
1790036700,39.9,EF,DOWN,0.45,0,UP
1790036700,166.5,MAIN,UP,0.73,1,UP
1790037000,23.5,EF,DOWN,0.51,0,UP
1790037000,187.6,MAIN,UP,0.9520660107902253,1,UP
1790037300,20.7,EF,DOWN,0.56,1,DOWN
1790037300,182.5,MAIN,DOWN,0.97,1,DOWN
1790037600,15.1,EF,DOWN,0.38,0,UP
1790037600,230.2,MAIN,UP,0.83,1,UP
1790037900,15.7,EF,UP,0.57,0,DOWN
1790037900,66.7,MAIN,DOWN,0.67,1,DOWN
1790038200,18.6,EF,DOWN,0.52,1,DOWN
1790038200,228.0,MAIN,DOWN,0.99,1,DOWN
1790038500,17.1,EF,UP,0.47,0,DOWN
1790038800,55.6,EF,UP,0.56,0,DOWN
1790038800,177.1,MAIN,DOWN,0.9024791672934027,1,DOWN
1790039100,32.1,EF,DOWN,0.41,0,UP
1790039400,15.3,EF,UP,0.45,0,DOWN
1790039400,119.6,MAIN,DOWN,0.74,1,DOWN
1790039700,103.6,EF,DOWN,0.6,1,DOWN
1790039700,223.2,MAIN,DOWN,0.98,1,DOWN
1790040000,15.1,EF,UP,0.57,1,UP
1790040300,15.4,EF,UP,0.51,1,UP
1790040600,15.8,EF,UP,0.48,1,UP
1790040900,101.0,EF,UP,0.5,0,DOWN
1790041200,15.6,EF,UP,0.47,1,UP
1790041500,152.6,EF,DOWN,0.51,1,DOWN
1790041800,24.2,EF,DOWN,0.56,0,UP
1790042100,33.5,EF,UP,0.51,0,DOWN
