epoch,utc_time,raw_fired,fixed_fired,side_raw,side_fixed,ask_raw,ask_fixed,won_raw,won_fixed,paper_pnl_raw,paper_pnl_fixed,exec_exp_pnl_raw,exec_exp_pnl_fixed,exec_p05_cum_raw,exec_p95_cum_raw,exec_p05_cum_fixed,exec_p95_cum_fixed,grading_source
1789500600,2026-09-15 19:30:00,1,1,DOWN,DOWN,0.3500,0.3500,0,0,-10.4550,-10.4550,-6.6852,-6.7681,-122.2362,-22.5078,-114.4087,-31.2739,engine
1789500900,2026-09-15 19:35:00,1,1,UP,UP,0.5100,0.5100,1,1,9.2648,9.2648,4.2952,4.2860,-118.7889,-17.2003,-111.0582,-24.7876,engine
1789501200,2026-09-15 19:40:00,1,1,DOWN,DOWN,0.6000,0.6000,1,1,6.3867,6.3867,2.8713,3.0417,-115.6139,-14.7944,-109.1565,-22.7916,engine
1789501500,2026-09-15 19:45:00,1,1,UP,UP,0.4900,0.4900,0,0,-10.3570,-10.3570,-6.9732,-6.6745,-121.8446,-19.7751,-116.1097,-28.2839,engine
1789502400,2026-09-15 20:00:00,1,1,DOWN,DOWN,0.4000,0.4000,1,1,14.5800,14.5800,6.9936,6.8398,-116.9920,-10.6503,-109.2166,-19.6389,engine
1789503300,2026-09-15 20:15:00,0,1,,DOWN,,0.6700,,1,0,4.6944,0,2.1295,-116.9920,-10.6503,-107.9359,-16.4557,venues
1789504200,2026-09-15 20:30:00,1,1,UP,UP,0.4900,0.4900,0,0,-10.3570,-10.3570,-7.0974,-6.6213,-124.3097,-18.6273,-113.9743,-22.0212,engine
1789505700,2026-09-15 20:55:00,1,0,DOWN,,0.4500,,1,,11.8372,0,5.2795,0,-118.5400,-11.7850,-113.9743,-22.0212,engine
1789508100,2026-09-15 21:35:00,1,1,UP,UP,0.6100,0.6100,0,0,-10.2730,-10.2730,-6.8038,-6.9062,-127.9405,-19.3671,-121.1596,-27.7088,engine
1789509600,2026-09-15 22:00:00,1,1,DOWN,DOWN,0.4500,0.4500,0,0,-10.3850,-10.3850,-6.8259,-6.5673,-131.9546,-23.9304,-129.4119,-35.4893,engine
1789510800,2026-09-15 22:20:00,1,0,DOWN,,0.4800,,0,,-10.3640,0,-6.9379,0,-140.8473,-31.2855,-129.4119,-35.4893,venues
1789511400,2026-09-15 22:30:00,1,1,UP,UP,0.4500,0.4500,1,1,11.8372,11.8372,5.3761,5.7502,-137.3113,-25.3756,-125.2267,-25.3352,venues
1789514100,2026-09-15 23:15:00,1,1,DOWN,DOWN,0.4000,0.4000,0,0,-10.4200,-10.4200,-6.8604,-6.7759,-143.6411,-32.2595,-131.6519,-33.0019,venues
1789517100,2026-09-16 00:05:00,1,0,DOWN,,0.3800,,0,,-10.4340,0,-6.5565,0,-152.6653,-39.0885,-131.6519,-33.0019,venues
1789518600,2026-09-16 00:30:00,1,1,DOWN,DOWN,0.3900,0.4600,0,0,-10.4270,-10.3780,-6.8642,-7.0088,-159.3408,-45.2135,-138.2405,-37.2065,venues
1789521000,2026-09-16 01:10:00,0,1,,DOWN,,0.8100,,0,0,-10.1330,0,-6.6815,-159.3408,-45.2135,-146.4610,-43.5442,venues
1789529400,2026-09-16 03:30:00,1,1,UP,UP,0.5700,0.5700,0,0,-10.3010,-10.3010,-6.6275,-6.6884,-167.0799,-51.6819,-154.3595,-50.8508,venues
1789533600,2026-09-16 04:40:00,1,1,DOWN,DOWN,0.6400,0.6400,1,1,5.3730,5.3730,2.4805,2.4879,-164.4952,-49.2287,-151.8372,-48.3320,venues
1789534500,2026-09-16 04:55:00,1,0,DOWN,,0.3800,,0,,-10.4340,0,-7.0766,0,-171.6948,-56.5476,-151.8372,-48.3320,venues
1789535100,2026-09-16 05:05:00,1,1,DOWN,DOWN,0.5000,0.5000,0,0,-10.3500,-10.3500,-6.7105,-6.5132,-178.2749,-59.6494,-159.6427,-54.7396,venues
1789536000,2026-09-16 05:20:00,1,1,DOWN,DOWN,0.6600,0.6600,0,0,-10.2380,-10.2380,-6.6369,-6.7213,-186.6763,-65.3707,-167.2232,-61.6038,venues
1789538700,2026-09-16 06:05:00,1,1,UP,UP,0.4300,0.4300,1,1,12.8568,12.8568,6.0804,6.0027,-180.3030,-58.6293,-160.0859,-55.7471,venues
1789544400,2026-09-16 07:40:00,1,1,DOWN,DOWN,0.4600,0.4600,1,1,11.3611,11.3611,5.3929,5.3538,-177.0798,-53.0213,-155.1036,-48.3049,venues
1789546800,2026-09-16 08:20:00,1,1,DOWN,DOWN,0.4600,0.4600,1,1,11.3611,11.3611,5.2475,5.3326,-172.0477,-47.4298,-148.3631,-42.0241,venues
1789556400,2026-09-16 11:00:00,1,1,DOWN,DOWN,0.3600,0.3600,0,0,-10.4480,-10.4480,-6.7639,-6.9201,-180.2075,-52.6819,-156.7489,-50.4151,venues
1789559400,2026-09-16 11:50:00,1,0,DOWN,,0.3800,,0,,-10.4340,0,-6.8596,0,-187.9926,-59.3419,-156.7489,-50.4151,engine
1789560900,2026-09-16 12:15:00,1,0,UP,,0.3900,,0,,-10.4270,0,-6.6344,0,-193.6611,-69.1218,-156.7489,-50.4151,venues
1789563000,2026-09-16 12:50:00,1,0,DOWN,,0.4700,,1,,10.9056,0,4.7067,0,-189.3573,-61.3125,-156.7489,-50.4151,venues
1789567500,2026-09-16 14:05:00,0,1,,DOWN,,0.7100,,0,0,-10.2030,0,-6.5122,-189.3573,-61.3125,-165.4671,-56.0365,venues
1789575900,2026-09-16 16:25:00,1,0,UP,,0.4000,,0,,-10.4200,0,-6.5259,0,-197.1290,-65.7650,-165.4671,-56.0365,venues
1789576200,2026-09-16 16:30:00,1,1,DOWN,DOWN,0.5100,0.5100,1,1,9.2648,9.2648,4.4690,4.5281,-192.2928,-62.2024,-161.6377,-52.8359,venues
1789576500,2026-09-16 16:35:00,1,0,DOWN,,0.4400,,0,,-10.3920,0,-6.8308,0,-201.4406,-69.8578,-161.6377,-52.8359,venues
1789586700,2026-09-16 19:25:00,1,1,DOWN,UP,0.3900,0.5400,1,0,15.2140,-10.3220,7.1483,-6.7336,-192.5938,-61.7727,-168.4777,-57.5631,engine
1789587000,2026-09-16 19:30:00,1,1,DOWN,DOWN,0.3900,0.3900,0,0,-10.4270,-10.4270,-6.5938,-6.6033,-200.7398,-66.8700,-174.3174,-66.1582,engine
