day,offset,markets,trades,win,avg_vwap,pnl100_f0,pnl100_f7,fixed5_f0,hybrid_f0,hybrid_f7,p1s,p5s,p100,hybrid_end_f0,maxdd
2026-08-23,60,56,50,74.0,0.6752344475651728,10.431155128022231,7.880974269060674,26.077887820055537,29.0375356460828,20.10717039907982,12.424042149836438,17.527370174484815,10.032261816373525,79.0375356460828,25.413146984009984
2026-08-23,90,55,51,76.47058823529412,0.7250980392156862,6.704708880446889,4.588320435286197,17.09700764513957,13.272784778596261,7.033030172556117,10.841254349345887,10.209017615357203,6.156146823399362,63.27278477859626,13.317351757512881
2026-08-23,120,54,48,85.41666666666666,0.7560416666666666,13.87603502117721,11.883879236361473,33.302484050825285,38.35667889286961,30.81242474995365,13.307485043763526,6.986975499614094,13.341724341762486,88.35667889286961,12.049214824123155
2026-08-23,180,53,48,89.58333333333334,0.8531666666666666,4.586493789436767,3.536272557509527,11.007585094648284,9.474634424641295,6.676313405685278,0.589332592207791,-0.7365434377331739,4.352851833184453,59.474634424641295,15.262379678171854
2026-08-23,240,30,29,96.55172413793103,0.9065694313532127,8.940666818302132,8.073440830676159,12.963966886538103,13.74737011872191,12.252103482503998,6.64031500743486,4.018687713662428,8.343098748557367,63.74737011872191,6.349357604895452
2026-08-24,30,11,11,63.63636363636363,0.6111971197119712,2.8970000752503453,0.14875552452827578,1.5933500413876942,1.5933500413876942,0.08181553849056655,4.068442286484601,-1.1193124195553972,2.8503060350565703,51.593350041387694,8.556986491769095
2026-08-24,60,11,11,63.63636363636363,0.6903517105987248,-14.7702028769572,-16.281743221024747,-8.123611582326461,-7.933930775878899,-8.712267087243433,-13.542161622221261,-13.356251964968289,-15.086969280668454,42.0660692241211,12.001401511746622
2026-08-24,90,11,10,80.0,0.7540000000000001,0.921553982968366,-0.5429547958394187,0.46077699148417395,0.135291928649508,-0.582996498855259,-9.00709527004538,-5.079456172473034,0.620375231017305,50.13529192864951,5.2810355495458055
2026-08-24,120,11,10,80.0,0.8020000000000002,-1.7589594659392271,-3.0358323033234824,-0.8794797329696138,-0.9226760121190338,-1.5515989284362348,-12.893897435850752,-6.909038740604992,-1.8890918423347602,49.077323987880966,5.047830923248057
2026-08-24,180,10,10,90.0,0.8610000000000001,4.596697251275367,3.5749284436860895,2.2983486256377006,2.154885886652167,1.6334182138401658,4.0994567712834336,1.6008360579155816,4.526059140826173,52.15488588665217,5.0
2026-08-24,240,3,3,66.66666666666666,0.9333333333333335,-30.868973422164917,-31.041478615946705,-4.630346013324733,-4.630346013324733,-4.656221792392003,-31.242247031720723,-31.965705161581454,-30.86897342216491,45.36965398667527,5.0
